Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
12,Schiebinger,Krt8,Gene,21.895,2.805,Wnt7b (+1.95); Batf3 (+1.88); Msx2 (+1.81); Pdgfb (+1.25); Fabp3 (+1.21)
13,Schiebinger,Ereg,Gene,21.292,6.782,Myc (+1.68); Bgn (+1.24); Lox (+1.24); Fam20c (+1.16); Egr1 (+1.06)
14,Schiebinger,Chchd10,Gene,21.287,3.045,Dppa5a (+2.13); Esrrb (+0.95); Cldn7 (+0.91); Zfp42 (+0.84); Epcam (+0.82)
15,Schiebinger,Gm26917,Gene,20.173,2.435,Snhg9 (+1.27); Scand1 (+1.20); Erdr1 (+1.10); Vbp1 (+0.94); Rala (+0.91)
16,Schiebinger,Tmem35,Gene,19.404,2.748,Gm26917 (-1.14); Nme2 (-0.87); Hist1h2ap (-0.70); Snhg9 (-0.67); Myc (-0.55)
17,Schiebinger,S100a1,Gene,19.008,5.659,Nfic (+0.62); Bhlhe40 (+0.60); Vcam1 (+0.57); Blvrb (+0.48); Klf4 (+0.41)
18,Schiebinger,Marcksl1,Gene,18.284,3.9,Col1a2 (-1.17); Nfic (-0.98); Cdkn2b (-0.86); Prss23 (-0.81); Epcam (+0.68)
19,Schiebinger,2810417H13Rik,Gene,18.187,8.134,Ereg (-3.66); Vcam1 (-0.90); Cdkn2a (+0.82); 1110008F13Rik (-0.68); Id3 (+0.68)
20,Schiebinger,Ecscr,Gene,17.6,2.222,Bgn (+0.89); Col1a2 (+0.82); Lox (+0.68); Ereg (+0.59); Egr1 (+0.59)
21,Schiebinger,Nme2,Gene,17.562,1.808,Vbp1 (+0.88); Txnip (+0.81); Ggh (+0.77); Gadd45b (+0.77); Prkcdbp (+0.74)
22,Schiebinger,Scand1,Gene,17.527,3.263,Ncam1 (-1.28); Bgn (-0.90); Nfic (-0.63); Lox (-0.59); Col1a2 (-0.58)
23,Schiebinger,Nmt1,Gene,17.098,1.493,Snhg9 (+1.65); Col1a2 (+1.24); Dmrtc2 (-0.92); Prr5 (+0.92); Vps8 (+0.71)
24,Schiebinger,Sdc4,Gene,16.949,5.855,Bhlhe40 (+0.75); Ereg (+0.73); Vapa (+0.68); Nmt1 (+0.66); Vps8 (+0.64)
25,Schiebinger,Lox,Gene,16.591,3.65,Dmrtc2 (-1.43); Snhg9 (+1.35); Col1a2 (+0.98); Vcam1 (+0.77); Gm26917 (-0.72)
